epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1048,1.48488,3.30726,1.5075,0.1685,0.36239,0.1287,0.07912,1.33101,2.83694,1.44358,0.0001392,0.0001392,0.0001392
2,29.9259,1.37752,1.92139,1.3724,0.35301,0.44689,0.3685,0.2199,1.32995,1.72634,1.40401,0.000277152,0.000277152,0.000277152
3,42.4618,1.36224,1.64158,1.36314,0.40869,0.52285,0.45344,0.27779,1.32391,1.57804,1.42575,0.000409419,0.000409419,0.000409419
4,54.9284,1.34859,1.46677,1.32522,0.59668,0.56777,0.53826,0.34044,1.36168,1.36106,1.37674,0.000409161,0.000409161,0.000409161
5,67.2681,1.35516,1.36393,1.33594,0.49032,0.67177,0.55121,0.33436,1.32597,1.34832,1.386,0.000400548,0.000400548,0.000400548
6,80.0032,1.32252,1.36594,1.31836,0.61377,0.63186,0.61508,0.39054,1.29731,1.206,1.3564,0.000391935,0.000391935,0.000391935
7,92.5223,1.30146,1.26569,1.29833,0.6262,0.73038,0.68067,0.43736,1.29484,1.05589,1.3388,0.000383322,0.000383322,0.000383322
8,104.831,1.31327,1.17626,1.31913,0.60742,0.7529,0.724,0.46075,1.27544,1.21718,1.3206,0.000374709,0.000374709,0.000374709
9,117.562,1.29737,1.13156,1.28188,0.63717,0.66597,0.65317,0.41506,1.28952,1.12134,1.33767,0.000366096,0.000366096,0.000366096
10,129.868,1.28364,1.10373,1.28337,0.65033,0.76609,0.71631,0.45576,1.27451,0.96117,1.3145,0.000357483,0.000357483,0.000357483
11,142.351,1.28148,1.07578,1.27125,0.57995,0.81126,0.70774,0.45456,1.26626,0.95751,1.31751,0.00034887,0.00034887,0.00034887
12,154.733,1.26163,1.02005,1.27974,0.59655,0.7329,0.70054,0.45114,1.26339,1.00263,1.30041,0.000340257,0.000340257,0.000340257
13,167.351,1.27634,1.03224,1.26137,0.55184,0.74039,0.68246,0.43917,1.27432,0.92435,1.3113,0.000331644,0.000331644,0.000331644
14,180.001,1.26342,1.05546,1.26196,0.5761,0.87295,0.76076,0.49072,1.2904,0.95431,1.33033,0.000323031,0.000323031,0.000323031
15,192.622,1.24325,0.96222,1.25557,0.60644,0.86426,0.76282,0.49622,1.26788,0.92736,1.316,0.000314418,0.000314418,0.000314418
16,204.966,1.23045,0.94026,1.27041,0.59518,0.88023,0.79662,0.50786,1.26745,0.90927,1.30602,0.000305805,0.000305805,0.000305805
17,217.793,1.24352,0.92058,1.24472,0.66597,0.81914,0.77492,0.50311,1.27259,0.89117,1.31287,0.000297192,0.000297192,0.000297192
18,230.14,1.24213,0.91863,1.25839,0.66916,0.80538,0.78236,0.50907,1.28174,0.90304,1.32345,0.000288579,0.000288579,0.000288579
19,242.796,1.20764,0.88766,1.2384,0.62318,0.77841,0.74767,0.47787,1.28228,0.9329,1.32051,0.000279966,0.000279966,0.000279966
20,255.194,1.20541,0.87309,1.23242,0.69806,0.79717,0.80146,0.51444,1.26964,0.89715,1.31603,0.000271353,0.000271353,0.000271353
21,267.511,1.20864,0.88954,1.23644,0.7091,0.79394,0.80787,0.50633,1.29186,0.88468,1.33823,0.00026274,0.00026274,0.00026274
22,279.998,1.22317,0.93421,1.26593,0.685,0.80623,0.7998,0.50479,1.29526,0.91417,1.33396,0.000254127,0.000254127,0.000254127
23,292.129,1.21766,0.83328,1.23968,0.73523,0.78595,0.79101,0.50981,1.28416,0.87328,1.32876,0.000245514,0.000245514,0.000245514
24,304.307,1.18027,0.84602,1.22127,0.72256,0.79021,0.79813,0.51559,1.28789,0.84332,1.32413,0.000236901,0.000236901,0.000236901
25,316.885,1.16446,0.90304,1.21354,0.71701,0.79171,0.80872,0.51339,1.27589,0.83296,1.32049,0.000228288,0.000228288,0.000228288
