epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2746,1.45051,4.01553,1.43938,0.02614,0.28883,0.0477,0.03052,1.26026,3.76039,1.24398,0.000170176,0.000170176,0.000170176
2,25.5348,1.43307,3.07958,1.31462,0.03633,0.26355,0.04918,0.03023,1.41582,3.93273,1.39177,0.000342089,0.000342089,0.000342089
3,36.5596,1.4395,2.40823,1.366,0.58767,0.15916,0.17718,0.11379,1.34203,2.55763,1.24691,0.00051053,0.00051053,0.00051053
4,47.4547,1.42287,2.08907,1.36564,0.54139,0.25249,0.20839,0.1274,1.35643,2.62317,1.25407,0.000510378,0.000510378,0.000510378
5,58.5042,1.45401,2.01554,1.37324,0.56289,0.24335,0.19737,0.12042,1.32888,2.42056,1.28592,0.00050517,0.00050517,0.00050517
6,69.1946,1.42561,1.84039,1.36438,0.61862,0.31715,0.26069,0.15975,1.33775,2.39205,1.31848,0.000499963,0.000499963,0.000499963
7,79.7168,1.41165,1.72914,1.3555,0.61953,0.35529,0.29069,0.17464,1.33074,2.21226,1.2972,0.000494756,0.000494756,0.000494756
8,90.735,1.40755,1.62853,1.35793,0.56183,0.40457,0.32214,0.19955,1.30392,2.17092,1.26472,0.000489548,0.000489548,0.000489548
9,101.407,1.38153,1.58599,1.34363,0.66891,0.4145,0.42428,0.26232,1.32345,1.90113,1.27999,0.000484341,0.000484341,0.000484341
10,112.102,1.35869,1.47465,1.34648,0.68576,0.45549,0.40278,0.23922,1.33557,2.00428,1.30049,0.000479133,0.000479133,0.000479133
11,122.775,1.3852,1.44847,1.34115,0.79397,0.40037,0.4498,0.27957,1.3022,1.95755,1.27957,0.000473926,0.000473926,0.000473926
12,133.549,1.37445,1.41694,1.33906,0.70062,0.41918,0.41588,0.26101,1.30845,2.02395,1.33969,0.000468719,0.000468719,0.000468719
